hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,"Gross domestic product, constant prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Inflation, average consumer prices",Volume of imports of goods and services,Volume of exports of goods and services,Unemployment rate,Current account balance,Date,GSPC.Close
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2019,3,252.85,249.76,2.295,57940.11,65077.3,15.742,1.813,1.144,0.47,3.683,-2.066,01-03-2019,2834.399902
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2019,4,253.06,253.31,2.295,57940.11,65077.3,15.742,1.813,1.144,0.47,3.683,-2.066,01-04-2019,2945.830078
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2020,1,255.89,258.22,-2.768,55875.47,63577.34,15.781,1.251,-8.958,-13.235,8.092,-2.835,01-01-2020,3225.52002
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2020,2,262.61,260.07,-2.768,55875.47,63577.34,15.781,1.251,-8.958,-13.235,8.092,-2.835,01-02-2020,2954.219971
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2020,3,276.34,272.96,-2.768,55875.47,63577.34,15.781,1.251,-8.958,-13.235,8.092,-2.835,01-03-2020,2584.590088
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2020,4,287.57,288.2,-2.768,55875.47,63577.34,15.781,1.251,-8.958,-13.235,8.092,-2.835,01-04-2020,2912.429932
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2021,1,296.75,299.47,5.947,59009.85,70159.77,15.735,4.683,14.134,6.054,5.367,-3.566,01-01-2021,3714.23999
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2021,2,315.17,311.68,5.947,59009.85,70159.77,15.735,4.683,14.134,6.054,5.367,-3.566,01-02-2021,3811.149902
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2021,3,325.85,321.76,5.947,59009.85,70159.77,15.735,4.683,14.134,6.054,5.367,-3.566,01-03-2021,3972.889893
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2021,4,329.31,330.59,5.947,59009.85,70159.77,15.735,4.683,14.134,6.054,5.367,-3.566,01-04-2021,4181.169922
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2022,1,338.96,342.14,2.062,60007.14,76343.25,15.541,7.986,8.08,7.081,3.642,-3.816,01-01-2022,4515.549805
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2022,2,359.67,355.16,2.062,60007.14,76343.25,15.541,7.986,8.08,7.081,3.642,-3.816,01-02-2022,4373.939941
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2022,3,360.57,355.89,2.062,60007.14,76343.25,15.541,7.986,8.08,7.081,3.642,-3.816,01-03-2022,4530.410156
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2022,4,357.55,359.46,2.062,60007.14,76343.25,15.541,7.986,8.08,7.081,3.642,-3.816,01-04-2022,4131.930176
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2023,1,363.62,367.07,2.085,60963.65,80412.41,15.418,4.084,-2.827,1.572,3.569,-2.951,01-01-2023,4076.600098
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2023,2,381.24,376.06,2.085,60963.65,80412.41,15.418,4.084,-2.827,1.572,3.569,-2.951,01-02-2023,3970.149902
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2023,3,392.72,387.45,2.085,60963.65,80412.41,15.418,4.084,-2.827,1.572,3.569,-2.951,01-03-2023,4109.310059
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1991,1,100,100,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-01-1991,343.9299927
